18243: done 1227 episodes, mean reward -0.005, speed 66.91 f/s
18314: done 1232 episodes, mean reward -0.005, speed 69.56 f/s
18399: done 1238 episodes, mean reward -0.005, speed 71.48 f/s
18470: done 1243 episodes, mean reward -0.005, speed 70.07 f/s
18541: done 1248 episodes, mean reward -0.005, speed 70.45 f/s
18612: done 1253 episodes, mean reward -0.005, speed 69.73 f/s
18683: done 1258 episodes, mean reward -0.005, speed 68.62 f/s
18754: done 1263 episodes, mean reward -0.005, speed 68.25 f/s
18839: done 1269 episodes, mean reward -0.005, speed 71.29 f/s
18910: done 1274 episodes, mean reward -0.005, speed 67.30 f/s
18981: done 1279 episodes, mean reward -0.005, speed 68.65 f/s
19066: done 1285 episodes, mean reward -0.005, speed 70.21 f/s
19137: done 1290 episodes, mean reward -0.005, speed 70.61 f/s
19208: done 1295 episodes, mean reward -0.005, speed 69.79 f/s
19279: done 1300 episodes, mean reward -0.005, speed 65.55 f/s
19350: done 1305 episodes, mean reward -0.005, speed 67.78 f/s
19421: done 1310 episodes, mean reward -0.005, speed 69.62 f/s
19507: done 1316 episodes, mean reward -0.005, speed 70.52 f/s
19578: done 1321 episodes, mean reward -0.005, speed 68.13 f/s
19649: done 1326 episodes, mean reward -0.005, speed 68.24 f/s
19720: done 1331 episodes, mean reward -0.005, speed 68.15 f/s
19805: done 1337 episodes, mean reward -0.005, speed 71.04 f/s
19890: done 1343 episodes, mean reward -0.005, speed 72.65 f/s
19961: done 1348 episodes, mean reward -0.005, speed 69.45 f/s
Test done in 1.02 sec, reward -0.005, steps 13
20016: done 1351 episodes, mean reward -0.005, speed 30.09 f/s
20087: done 1356 episodes, mean reward -0.005, speed 69.16 f/s
20158: done 1361 episodes, mean reward -0.005, speed 70.24 f/s
20243: done 1367 episodes, mean reward -0.005, speed 70.69 f/s
20314: done 1372 episodes, mean reward -0.005, speed 70.68 f/s
20385: done 1377 episodes, mean reward -0.005, speed 70.90 f/s
20456: done 1382 episodes, mean reward -0.005, speed 70.31 f/s
20541: done 1388 episodes, mean reward -0.005, speed 73.12 f/s
20612: done 1393 episodes, mean reward -0.005, speed 64.84 f/s
20698: done 1399 episodes, mean reward -0.005, speed 70.36 f/s
20783: done 1405 episodes, mean reward -0.005, speed 71.40 f/s
20868: done 1411 episodes, mean reward -0.005, speed 72.49 f/s
20939: done 1416 episodes, mean reward -0.005, speed 67.71 f/s
21010: done 1421 episodes, mean reward -0.005, speed 68.36 f/s
